text,label
fever headache vomiting sweating,Malaria
sweating vomiting fever nausea headache,Malaria
fever vomiting nausea sweating chills headache,Malaria
nausea sweating headache fever tremor,Malaria
sweating vomiting chills,Malaria
chills fever vomiting sweating nausea,Malaria
chills headache fever,Malaria
chills headache sweating nausea fever vomiting runny nose,Malaria
chills vomiting nausea headache fever,Malaria
headache fever chills nausea sweating,Malaria
vomiting sweating headache chills,Malaria
nausea headache fever sweating,Malaria
fever sweating nausea chills headache vomiting,Malaria
nausea sweating chills eye pain,Malaria
headache chills nausea,Malaria
vomiting headache fever sweating chills,Malaria
fever vomiting sweating chills watery eyes,Malaria
fever headache sweating chills,Malaria
sweating headache chills nausea fever vomiting fatigue,Malaria
headache vomiting sweating fever chills,Malaria
sweating headache nausea fever,Malaria
headache fever sweating,Malaria
fever sweating chills headache,Malaria
chills nausea fever,Malaria
headache chills sweating nausea vomiting,Malaria
nausea vomiting fever,Malaria
chills vomiting sweating nausea headache,Malaria
fever headache vomiting chills nausea,Malaria
sweating chills headache nausea fever tremor,Malaria
headache chills nausea fever sweating vomiting,Malaria
sweating fever nausea chills cough,Malaria
headache fever vomiting chills nausea sweating,Malaria
headache fever sweating vomiting,Malaria
headache sweating fever vomiting chills,Malaria
fever vomiting chills fast heart rate,Malaria
sweating vomiting headache chills,Malaria
chills fever headache nausea vomiting sweating,Malaria
fever sweating nausea vomiting chills headache,Malaria
vomiting headache nausea sweating fever chills,Malaria
nausea sweating headache,Malaria
headache chills vomiting nausea fever sweating,Malaria
chills fever vomiting,Malaria
nausea headache sweating,Malaria
headache vomiting fever nausea,Malaria
nausea headache vomiting sweating,Malaria
headache chills sweating fever nausea vomiting,Malaria
vomiting headache nausea fever,Malaria
vomiting sweating nausea fever,Malaria
vomiting headache sweating chills fever,Malaria
chills nausea headache fever vomiting loss of taste,Malaria
fever headache eye pain,Dengue
headache fever eye pain nausea rash joint pain vomiting cough,Dengue
eye pain headache fever joint pain vomiting rash,Dengue
eye pain rash fever headache joint pain vomiting nausea,Dengue
joint pain fever vomiting eye pain rash nausea headache,Dengue
fever nausea rash eye pain vomiting joint pain body ache,Dengue
nausea rash headache vomiting joint pain shoulder pain,Dengue
vomiting eye pain joint pain headache rash,Dengue
